treatment,environment,change_rate,trait,total_reps,uncon_before_con_cnt,con_cnt,uncon_before_con_prct,subopt_plastic_before_opt_plastic_cnt,opt_plastic_cnt,subopt_plastic_before_opt_plastic_prct
ntasks_2__envs_4__cr_800__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,800,not,50,37,50,0.740000,35,49,0.714286
ntasks_2__envs_4__cr_800__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,800,all,50,47,50,0.940000,2,2,1.000000
ntasks_2__envs_4__cr_1600__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,1600,nand,50,38,39,0.974359,10,33,0.303030
ntasks_2__envs_4__cr_1600__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,1600,not,50,44,50,0.880000,46,50,0.920000
ntasks_2__envs_4__cr_1600__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,1600,all,50,47,50,0.940000,0,0,0.000000
ntasks_2__envs_4__cr_25000__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,25000,nand,50,30,32,0.937500,7,24,0.291667
ntasks_2__envs_4__cr_25000__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,25000,not,50,47,50,0.940000,17,35,0.485714
ntasks_2__envs_4__cr_25000__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,25000,all,50,47,50,0.940000,0,0,0.000000
ntasks_2__envs_4__cr_1__tasks_NOT_NAND__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND,1,nand,20,3,9,0.333333,0,2,0.000000
ntasks_2__envs_4__cr_1__tasks_NOT_NAND__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND,1,not,20,16,20,0.800000,2,19,0.105263
ntasks_2__envs_4__cr_1__tasks_NOT_NAND__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND,1,all,20,16,20,0.800000,2,2,1.000000
ntasks_2__envs_4__cr_25__tasks_NOT_NAND__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND,25,nand,20,1,13,0.076923,3,13,0.230769
ntasks_2__envs_4__cr_25__tasks_NOT_NAND__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND,25,not,20,6,20,0.300000,3,20,0.150000
ntasks_2__envs_4__cr_25__tasks_NOT_NAND__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND,25,all,20,7,20,0.350000,13,13,1.000000
ntasks_2__envs_4__cr_50__tasks_NOT_NAND__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND,50,nand,20,13,20,0.650000,13,20,0.650000
ntasks_2__envs_4__cr_50__tasks_NOT_NAND__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND,50,not,20,11,20,0.550000,3,20,0.150000
ntasks_2__envs_4__cr_50__tasks_NOT_NAND__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND,50,all,20,12,20,0.600000,19,19,1.000000
ntasks_2__envs_4__cr_100__tasks_NOT_NAND__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND,100,nand,20,16,20,0.800000,12,20,0.600000
ntasks_2__envs_4__cr_100__tasks_NOT_NAND__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND,100,not,20,14,20,0.700000,4,20,0.200000
ntasks_2__envs_4__cr_100__tasks_NOT_NAND__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND,100,all,20,15,20,0.750000,20,20,1.000000
ntasks_2__envs_4__cr_200__tasks_NOT_NAND__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND,200,nand,20,18,20,0.900000,12,20,0.600000
ntasks_2__envs_4__cr_200__tasks_NOT_NAND__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND,200,not,20,15,20,0.750000,9,20,0.450000
ntasks_2__envs_4__cr_200__tasks_NOT_NAND__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND,200,all,20,18,20,0.900000,20,20,1.000000
ntasks_2__envs_4__cr_400__tasks_NOT_NAND__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND,400,nand,20,20,20,1.000000,12,18,0.666667
ntasks_2__envs_4__cr_400__tasks_NOT_NAND__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND,400,not,20,18,20,0.900000,7,20,0.350000
ntasks_2__envs_4__cr_400__tasks_NOT_NAND__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND,400,all,20,18,20,0.900000,14,14,1.000000
ntasks_2__envs_4__cr_800__tasks_NOT_NAND__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND,800,nand,20,19,20,0.950000,5,19,0.263158
ntasks_2__envs_4__cr_800__tasks_NOT_NAND__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND,800,not,20,19,20,0.950000,12,19,0.631579
ntasks_2__envs_4__cr_800__tasks_NOT_NAND__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND,800,all,20,19,20,0.950000,1,1,1.000000
ntasks_2__envs_4__cr_1600__tasks_NOT_NAND__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND,1600,nand,20,16,17,0.941176,2,14,0.142857
ntasks_2__envs_4__cr_1600__tasks_NOT_NAND__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND,1600,not,20,19,20,0.950000,11,18,0.611111
ntasks_2__envs_4__cr_1600__tasks_NOT_NAND__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND,1600,all,20,19,20,0.950000,0,0,0.000000
ntasks_2__envs_4__cr_25000__tasks_NOT_NAND__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND,25000,nand,20,14,15,0.933333,3,10,0.300000
ntasks_2__envs_4__cr_25000__tasks_NOT_NAND__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND,25000,not,20,18,19,0.947368,6,16,0.375000
ntasks_2__envs_4__cr_25000__tasks_NOT_NAND__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND,25000,all,20,19,20,0.950000,0,0,0.000000
ntasks_2__envs_4__cr_1__tasks_NAND_NOT__style_2__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT__style_2,1,nand,50,21,35,0.600000,13,24,0.541667
ntasks_2__envs_4__cr_1__tasks_NAND_NOT__style_2__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT__style_2,1,not,50,31,49,0.632653,26,46,0.565217
ntasks_2__envs_4__cr_1__tasks_NAND_NOT__style_2__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT__style_2,1,all,50,37,49,0.755102,7,7,1.000000
ntasks_2__envs_4__cr_25__tasks_NAND_NOT__style_2__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT__style_2,25,nand,50,45,50,0.900000,10,48,0.208333
ntasks_2__envs_4__cr_25__tasks_NAND_NOT__style_2__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT__style_2,25,not,50,14,50,0.280000,4,50,0.080000
ntasks_2__envs_4__cr_25__tasks_NAND_NOT__style_2__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT__style_2,25,all,50,17,50,0.340000,48,48,1.000000
ntasks_2__envs_4__cr_50__tasks_NAND_NOT__style_2__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT__style_2,50,nand,50,49,50,0.980000,15,50,0.300000
ntasks_2__envs_4__cr_50__tasks_NAND_NOT__style_2__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT__style_2,50,not,50,25,50,0.500000,7,50,0.140000
ntasks_2__envs_4__cr_50__tasks_NAND_NOT__style_2__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT__style_2,50,all,50,34,50,0.680000,50,50,1.000000
ntasks_2__envs_4__cr_100__tasks_NAND_NOT__style_2__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT__style_2,100,nand,50,47,49,0.959184,11,48,0.229167
ntasks_2__envs_4__cr_100__tasks_NAND_NOT__style_2__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT__style_2,100,not,50,41,50,0.820000,10,50,0.200000
ntasks_2__envs_4__cr_100__tasks_NAND_NOT__style_2__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT__style_2,100,all,50,44,50,0.880000,48,48,1.000000
ntasks_2__envs_4__cr_200__tasks_NAND_NOT__style_2__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT__style_2,200,nand,50,47,47,1.000000,9,47,0.191489
ntasks_2__envs_4__cr_200__tasks_NAND_NOT__style_2__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT__style_2,200,not,50,45,50,0.900000,13,50,0.260000
ntasks_2__envs_4__cr_200__tasks_NAND_NOT__style_2__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT__style_2,200,all,50,47,50,0.940000,46,46,1.000000
ntasks_2__envs_4__cr_400__tasks_NAND_NOT__style_2__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT__style_2,400,nand,50,45,45,1.000000,13,37,0.351351
ntasks_2__envs_4__cr_400__tasks_NAND_NOT__style_2__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT__style_2,400,not,50,43,50,0.860000,26,50,0.520000
ntasks_2__envs_4__cr_400__tasks_NAND_NOT__style_2__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT__style_2,400,all,50,45,50,0.900000,6,6,1.000000
ntasks_2__envs_4__cr_800__tasks_NAND_NOT__style_2__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT__style_2,800,nand,50,46,46,1.000000,10,39,0.256410
ntasks_2__envs_4__cr_800__tasks_NAND_NOT__style_2__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT__style_2,800,not,50,48,50,0.960000,28,50,0.560000
ntasks_2__envs_4__cr_800__tasks_NAND_NOT__style_2__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT__style_2,800,all,50,50,50,1.000000,2,2,1.000000
ntasks_2__envs_4__cr_1600__tasks_NAND_NOT__style_2__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT__style_2,1600,nand,50,38,39,0.974359,4,30,0.133333
ntasks_2__envs_4__cr_1600__tasks_NAND_NOT__style_2__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT__style_2,1600,not,50,45,50,0.900000,28,48,0.583333
ntasks_2__envs_4__cr_1600__tasks_NAND_NOT__style_2__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT__style_2,1600,all,50,47,50,0.940000,0,0,0.000000
ntasks_2__envs_4__cr_25000__tasks_NAND_NOT__style_2__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT__style_2,25000,nand,50,29,30,0.966667,1,22,0.045455
ntasks_2__envs_4__cr_25000__tasks_NAND_NOT__style_2__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT__style_2,25000,not,50,31,44,0.704545,14,31,0.451613
ntasks_2__envs_4__cr_25000__tasks_NAND_NOT__style_2__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT__style_2,25000,all,50,44,46,0.956522,0,0,0.000000
ntasks_2__envs_4__cr_1__tasks_NOT_NAND__style_2__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND__style_2,1,nand,20,6,10,0.600000,6,10,0.600000
ntasks_2__envs_4__cr_1__tasks_NOT_NAND__style_2__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND__style_2,1,not,20,11,20,0.550000,6,8,0.750000
ntasks_2__envs_4__cr_1__tasks_NOT_NAND__style_2__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND__style_2,1,all,20,12,20,0.600000,0,0,0.000000
ntasks_2__envs_4__cr_25__tasks_NOT_NAND__style_2__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND__style_2,25,nand,20,6,19,0.315789,5,17,0.294118
ntasks_2__envs_4__cr_25__tasks_NOT_NAND__style_2__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND__style_2,25,not,20,7,20,0.350000,1,20,0.050000
